user_screen_name,created_at,text,hashtags,user_name,user_location,retweet_count,favorite_count
5abiRajpoot,2023-01-05 23:44:50+00:00,"RT @Tractor2twitr_P: RO systems which wr once part of #FarmersProtest r being installed in #ZiraSanjhaMorcha .

Toxic pollution by Malbros…","['FarmersProtest', 'ZiraSanjhaMorcha']",Amritpal Singh Manjh,"Hoshiarpur,Punjab, ",51,0
HussanJossan,2023-01-05 23:42:13+00:00,"RT @Tractor2twitr_P: RO systems which wr once part of #FarmersProtest r being installed in #ZiraSanjhaMorcha .

Toxic pollution by Malbros…","['FarmersProtest', 'ZiraSanjhaMorcha']",Hussan Jossan,,51,0
ManseetM,2023-01-05 23:42:00+00:00,"RT @Tractor2twitr_P: RO systems which wr once part of #FarmersProtest r being installed in #ZiraSanjhaMorcha .

Toxic pollution by Malbros…","['FarmersProtest', 'ZiraSanjhaMorcha']",Manseet Mavi,,51,0
Tractor2twitr_P,2023-01-05 23:40:46+00:00,"RO systems which wr once part of #FarmersProtest r being installed in #ZiraSanjhaMorcha .

Toxic pollution by Malbr… https://t.co/5iF98ApYfE","['FarmersProtest', 'ZiraSanjhaMorcha']",Tractor2ਟਵਿੱਟਰ ਪੰਜਾਬ,"Ludhiana, India",51,73
manishmaurya61,2023-01-05 23:18:34+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],Manish Maurya🇮🇳,,104,0
bitmasti,2023-01-05 22:56:50+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],Bitcryp,,104,0
shailu_manjhi,2023-01-05 22:10:40+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],Shailesh Manjhi,"Gwalior, India",104,0
vitasta65,2023-01-05 21:10:38+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],वेतस्ता,,104,0
devil_moh,2023-01-05 21:07:27+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],moh,"Chandigarh, India",104,0
ajeybhatia,2023-01-05 20:26:21+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],Ajey Bhatia,,104,0
MeghanaPawanist,2023-01-05 20:15:58+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],Meghana_Adusumalli,"Tenali, India",104,0
seematrivedy,2023-01-05 20:03:38+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],Seema Trivedi 🇮🇳,,104,0
